subfolder,file,path,composite,themes_hit,score_a,score_b,score_c,hits_a,hits_b,hits_c
G,Started_XXXX_Creating_A_Diagnostic_Assessment_Model_For_Autism.pdf,pdfs\G\Started_XXXX_Creating_A_Diagnostic_Assessment_Model_For_Autism.pdf,29,2,0,7,16,,code sharing; preprint; articulate,submission guidelines; cope; peer review; editorial board; editor; retraction
B,Started_XXXX_Higher_Education_Students_Perceptions_Of_Chatgpt_A.pdf,pdfs\B\Started_XXXX_Higher_Education_Students_Perceptions_Of_Chatgpt_A.pdf,28,2,1,5,16,chatgpt,code sharing; preprint,submission guidelines; cope; peer review; editorial board; editor; retraction
C,Unknown_2020_Background_The_Coronavirus_Disease_2019_Covid_19_Pandemic.pdf,pdfs\C\Unknown_2020_Background_The_Coronavirus_Disease_2019_Covid_19_Pandemic.pdf,26,2,0,4,16,,preprint; validity,disclose; plagiarism; peer review; editorial board; editor; retraction
C,Unknown_2024_Undertaking_Peer_Review_For_Academic_Journals_The.pdf,pdfs\C\Unknown_2024_Undertaking_Peer_Review_For_Academic_Journals_The.pdf,35,3,5,6,15,transparency; large language model; llm; chatgpt,preprint; validity; transparency,cope; plagiarism; peer review; editor; academic publishing; journal editor
C,Library_2024_Obvious_Artificial_Intelligencegenerated_Anomalies_In_Publis.pdf,pdfs\C\Library_2024_Obvious_Artificial_Intelligencegenerated_Anomalies_In_Publis.pdf,27,2,6,0,15,ai in research; generative ai; llm; academic writing; scholarly writing,,manuscript preparation; disclosure of ai; peer review; editor; academic publishing; scholarly publishing
A,Adjovi_2025_A_Worldwide_Itinerary_Of_Research_Ethics_In.pdf,pdfs\A\Adjovi_2025_A_Worldwide_Itinerary_Of_Research_Ethics_In.pdf,61,3,7,31,14,reproducib; transparency; research practice,open science; replication crisis; publication bias; questionable research practice; data sharing; research integrity,cope; academic integrity; research misconduct; plagiarism; peer review
B,Perkins_2025_Academic_Publisher_Guidelines_On_Ai_Usage_A.pdf,pdfs\B\Perkins_2025_Academic_Publisher_Guidelines_On_Ai_Usage_A.pdf,35,3,8,4,14,ai-assisted research; generative ai; large language model; llm; chatgpt; gpt-4,research integrity,disclose; academic integrity; plagiarism; peer review; editor; academic publishing
D,Hopewell_2025_Consort_2025_Statement_Updated_Guideline_For_Reporting.pdf,pdfs\D\Hopewell_2025_Consort_2025_Statement_Updated_Guideline_For_Reporting.pdf,27,2,0,7,14,,open science; data sharing,wame; icmje; peer review; editor; journal editor
C,al_2023_Using_Chatgpt_In_Academic_Writing_Is_Not.pdf,pdfs\C\al_2023_Using_Chatgpt_In_Academic_Writing_Is_Not.pdf,26,2,4,2,14,generative ai; chatgpt; academic writing; scholarly writing,systematic review,cope; academic integrity; plagiarism; academic publishing; correction
H,Available_2023_Doi_Httpsdoiorg1037074jalt20236120.pdf,pdfs\H\Available_2023_Doi_Httpsdoiorg1037074jalt20236120.pdf,23,2,3,0,14,large language model; llm; chatgpt,,manuscript preparation; ai authorship; plagiarism; editor; journal editor
C,Dehouche_2021_Plagiarism_In_The_Age_Of_Massive_Generative.pdf,pdfs\C\Dehouche_2021_Plagiarism_In_The_Age_Of_Massive_Generative.pdf,19,1,0,2,14,,preprint,cope; committee on publication ethics; research misconduct; plagiarism
C,e021p017.pdf,pdfs_manualy_supplemented\C\e021p017.pdf,19,1,0,2,14,,preprint,cope; committee on publication ethics; research misconduct; plagiarism
C,Sallam_2023_The_Utility_Of_Chatgpt_As_An_Example.pdf,pdfs\C\Sallam_2023_The_Utility_Of_Chatgpt_As_An_Example.pdf,33,3,5,6,13,transparency; large language model; llm; chatgpt,preprint; systematic review; transparency,cope; icmje; plagiarism; peer review; editor
D,Issue_XXXX_Ending_Publication_Bias_A_Values_based_Approach_To.pdf,pdfs\D\Issue_XXXX_Ending_Publication_Bias_A_Values_based_Approach_To.pdf,32,2,2,11,13,transparency,publication bias; code sharing; preprint; transparency,submission guidelines; peer review; editorial board; editor; retraction; correction
H,Health_XXXX_When_Eliza_Meets_Therapists_A_Turing_Test.pdf,pdfs\H\Health_XXXX_When_Eliza_Meets_Therapists_A_Turing_Test.pdf,25,2,1,5,13,chatgpt,code sharing; preprint,submission guidelines; peer review; editorial board; editor; retraction; correction
A,Health_XXXX_Achieving_Health_Equity_Through_Conversational_Ai_A.pdf,pdfs\A\Health_XXXX_Achieving_Health_Equity_Through_Conversational_Ai_A.pdf,24,2,0,5,13,,code sharing; preprint,submission guidelines; peer review; editorial board; editor; retraction; correction
B,Health_XXXX_Bias_In_Medical_Ai_Implications_For_Clinical.pdf,pdfs\B\Health_XXXX_Bias_In_Medical_Ai_Implications_For_Clinical.pdf,24,2,0,5,13,,code sharing; preprint,submission guidelines; peer review; editorial board; editor; retraction; correction
C,Alberts_2023_Large_Language_Models_Llm_And_Chatgpt_What.pdf,pdfs\C\Alberts_2023_Large_Language_Models_Llm_And_Chatgpt_What.pdf,23,2,4,0,13,generative ai; large language model; llm; chatgpt,,cope; academic integrity; plagiarism; editor; academic publishing
D,Silverstein_2024_A_Guide_For_Social_Science_Journal_Editors.pdf,pdfs\D\Silverstein_2024_A_Guide_For_Social_Science_Journal_Editors.pdf,56,3,8,27,12,reproducib; replicab; research practice,open science; open research; publication bias; preprint; osf; knowledge production,peer review; editor; scholarly publishing; social science journal; journal editor
A,Society_XXXX_Are_Concerns_Related_To_Artificial_Intelligence_Development.pdf,pdfs\A\Society_XXXX_Are_Concerns_Related_To_Artificial_Intelligence_Development.pdf,32,3,5,6,12,transparency; large language model; llm; chatgpt,preprint; systematic review; transparency,author guidelines; cope; academic integrity; plagiarism
H,Team_2024_Ethical_Implications_And_Principles_Of_Using_Artificial.pdf,pdfs\H\Team_2024_Ethical_Implications_And_Principles_Of_Using_Artificial.pdf,24,2,2,4,12,transparency,systematic review; transparency,ai policy; author guidelines; cope; editor
D,Sociologist_2023_The_American_Sociologist_2023_54193210.pdf,pdfs\D\Sociologist_2023_The_American_Sociologist_2023_54193210.pdf,63,3,14,29,11,reproducib; replicab; transparency; pre-registr; preregistr,pre-registration; preregistration; registered report; open science; replication crisis; transparency,editor; retraction; correction; sociological; sociology journal
D,AlHoorie_2021_Open_Science_In_Applied_Linguistics_An_Introduction.pdf,pdfs\D\AlHoorie_2021_Open_Science_In_Applied_Linguistics_An_Introduction.pdf,55,3,5,30,11,reproducib; transparency,registered report; open science; open research; replication crisis; preprint; validity,cope; peer review; editor; retraction; correction
C,Sallam_XXXX_Chatgpt_Utility_In_Healthcare_Education_Research_And.pdf,pdfs\C\Sallam_XXXX_Chatgpt_Utility_In_Healthcare_Education_Research_And.pdf,32,3,6,6,11,transparency; large language model; llm; chatgpt; academic writing,preprint; systematic review; transparency,cope; icmje; plagiarism; editor
C,healthcare-11-00887-v2.pdf,pdfs_manualy_supplemented\C\healthcare-11-00887-v2.pdf,32,3,6,6,11,transparency; large language model; llm; chatgpt; academic writing,preprint; systematic review; transparency,cope; icmje; plagiarism; editor
E,Peterson_2025_Addressing_Student_Use_Of_Generative_Ai_In.pdf,pdfs\E\Peterson_2025_Addressing_Student_Use_Of_Generative_Ai_In.pdf,28,3,3,5,11,generative ai; large language model; llm,articulate; knowledge production,cope; academic integrity; plagiarism; correction
D,Navigation_XXXX_Research_Into_Evidence_based_Psychological_Interventions_Nee.pdf,pdfs\D\Navigation_XXXX_Research_Into_Evidence_based_Psychological_Interventions_Nee.pdf,27,3,3,4,11,replicab,open science,author guidelines; cope; peer review; editorial board; editor
D,Navigation_XXXX_Political_Orientation_And_Moral_Judgment_Of_Sexual.pdf,pdfs\D\Navigation_XXXX_Political_Orientation_And_Moral_Judgment_Of_Sexual.pdf,23,2,0,6,11,,open science; osf,author guidelines; cope; peer review; editorial board; editor
D,Formosa_2024_Can_Chatgpt_Be_An_Author_Generative_Ai.pdf,pdfs\D\Formosa_2024_Can_Chatgpt_Be_An_Author_Generative_Ai.pdf,21,2,4,0,11,generative ai; large language model; llm; chatgpt,,disclose; ai authorship; editor; journal editor
C,Rudin_2023_Copyright_2023_By_International_Federation_Of_Social.pdf,pdfs\C\Rudin_2023_Copyright_2023_By_International_Federation_Of_Social.pdf,17,1,1,2,11,large language model,systematic review,editorial policy; disclose; cope; editor
C,Sci_2023_Untitled.pdf,pdfs\C\Sci_2023_Untitled.pdf,45,3,11,15,10,epistemic; epistemolog; generative ai; large language model; llm; chatgpt,open science; osf; epistemic; epistemolog; philosophy of science,disclose; cope; plagiarism; peer review
C,rsos.230658.pdf,pdfs_manualy_supplemented\C\rsos.230658.pdf,45,3,11,15,10,epistemic; epistemolog; generative ai; large language model; llm; chatgpt,open science; osf; epistemic; epistemolog; philosophy of science,disclose; cope; plagiarism; peer review
G,abc_2024_International_Journal_Of_Research_In_Medical_Sciences.pdf,pdfs\G\abc_2024_International_Journal_Of_Research_In_Medical_Sciences.pdf,36,3,10,7,10,epistemic; transparency; generative ai; large language model; llm; chatgpt,epistemic; inference; transparency,icmje; plagiarism; editor; correction
G,Forsberg_2023_Edited_By_Eva_Forsberg_Lars_Geschwind.pdf,pdfs\G\Forsberg_2023_Edited_By_Eva_Forsberg_Lars_Geschwind.pdf,25,3,3,3,10,epistemic,epistemic,cope; peer review; editor; correction; sociological
Venue,Turing_2023_Mathematician_Alan_Turing.pdf,pdfs\Venue\Turing_2023_Mathematician_Alan_Turing.pdf,19,2,3,0,10,generative ai; large language model; chatgpt,,plagiarism; editor; scholarly publishing; journal editor
G,HP_2025_Microsoft_Word_19019_tamplate.pdf,pdfs\G\HP_2025_Microsoft_Word_19019_tamplate.pdf,37,3,11,8,9,epistemic; epistemolog; transparency; generative ai; large language model; llm,epistemic; epistemolog; transparency,ai authorship; plagiarism; editor
C,Ethics_2023_The_Ethics_Of_Disclosing_The_Use_Of.pdf,pdfs\C\Ethics_2023_The_Ethics_Of_Disclosing_The_Use_Of.pdf,31,3,8,5,9,reproducib; transparency; large language model; llm; chatgpt,transparency; reproducib,disclose; academic integrity; plagiarism; editor
C,Care_etal_2023_Medicine_Health_Care_And_Philosophy_2023_2612.pdf,pdfs\C\Care_etal_2023_Medicine_Health_Care_And_Philosophy_2023_2612.pdf,29,3,5,6,9,large language model; llm; chatgpt; research tool,preprint; research integrity,plagiarism; peer review; editor; academic publishing
A,USER_2024_Edelweiss_Applied_Science_And_Technology.pdf,pdfs\A\USER_2024_Edelweiss_Applied_Science_And_Technology.pdf,26,3,4,4,9,transparency; chatgpt; gpt-4,scientific knowledge; transparency,plagiarism; peer review; editor; academic publishing
D,10.1007_s11186-025-09641-3.pdf,pdfs\D\10.1007_s11186-025-09641-3.pdf,24,2,2,7,9,transparency,registered report; transparency,disclose; cope; editor; academic publishing
B,Technologies_etal_2024_Education_And_Information_Technologies_2024_292150121522.pdf,pdfs\B\Technologies_etal_2024_Education_And_Information_Technologies_2024_292150121522.pdf,21,2,4,2,9,generative ai; large language model; llm; chatgpt,systematic review,cope; academic integrity; plagiarism
A,Li_2025_Content_Specialists_Anti_plagiarism_Pedagogical_Intervention.pdf,pdfs\A\Li_2025_Content_Specialists_Anti_plagiarism_Pedagogical_Intervention.pdf,20,2,5,0,9,explicit knowledge; generative ai; chatgpt,,academic integrity; plagiarism; retraction
B,Zhao_2024_Chatgpt_And_The_Digitisation_Of_Writing.pdf,pdfs\B\Zhao_2024_Chatgpt_And_The_Digitisation_Of_Writing.pdf,20,2,2,3,9,generative ai; chatgpt,tacit,academic integrity; plagiarism; turnitin
C,Hana_etal_2026_Reversing_The_Threat_Of_Artificial_Intelligence_To.pdf,pdfs\C\Hana_etal_2026_Reversing_The_Threat_Of_Artificial_Intelligence_To.pdf,16,1,2,2,9,large language model; chatgpt,preprint,plagiarism; turnitin; scholarly publishing
H,Intelligence_etal_2024_Generative_Artificial_Intelligence_In_Distance_Education_Tra.pdf,pdfs\H\Intelligence_etal_2024_Generative_Artificial_Intelligence_In_Distance_Education_Tra.pdf,16,1,2,2,9,chatgpt; academic writing,articulate,cope; academic integrity; plagiarism
H,IJLTERORG_2023_This_Work_Is_Licensed_Under_A_Creative.pdf,pdfs\H\IJLTERORG_2023_This_Work_Is_Licensed_Under_A_Creative.pdf,14,1,2,0,9,large language model; academic writing,,manuscript preparation; academic integrity; plagiarism; editor
C,Access_2024_The_Authors_2024_Open_Access_This_Article.pdf,pdfs\C\Access_2024_The_Authors_2024_Open_Access_This_Article.pdf,12,1,0,0,9,,,academic integrity; plagiarism; turnitin
C,Hengel_etal_2022_Publishing_While_Female.pdf,pdfs\C\Hengel_etal_2022_Publishing_While_Female.pdf,12,1,0,0,9,,,submission guidelines; peer review; editor; journal editor
C,Journal_etal_2025_Iberoamerican_Journal_Of_Science_Measurement_And_Communicati.pdf,pdfs\C\Journal_etal_2025_Iberoamerican_Journal_Of_Science_Measurement_And_Communicati.pdf,12,1,0,0,9,,,academic integrity; plagiarism; turnitin
B,Editor_2024_Are_Preprints_A_Threat_To_The_Credibility.pdf,pdfs\B\Editor_2024_Are_Preprints_A_Threat_To_The_Credibility.pdf,28,3,5,6,8,generative ai; large language model; llm; chatgpt; claude,open science; preprint,manuscript preparation; cope; peer review; editor
A,Generative_2024_Can_Generative_Ai_Improve_Social_Science.pdf,pdfs\A\Generative_2024_Can_Generative_Ai_Improve_Social_Science.pdf,25,2,9,2,8,replicab; generative ai; large language model; llm; chatgpt; research tool,preprint,cope; peer review; editorial board; editor
A,bail-2024-can-generative-ai-improve-social-science.pdf,pdfs_manualy_supplemented\A\bail-2024-can-generative-ai-improve-social-science.pdf,25,2,9,2,8,replicab; generative ai; large language model; llm; chatgpt; research tool,preprint,cope; peer review; editorial board; editor
C,Unknown_2025_.pdf,pdfs\C\Unknown_2025_.pdf,21,2,5,2,8,transparency; generative ai; chatgpt; academic writing,transparency,academic integrity; plagiarism; correction
B,University_2024_Artificial_Intelligence_In_University_Education.pdf,pdfs\B\University_2024_Artificial_Intelligence_In_University_Education.pdf,20,2,4,2,8,replicab; generative ai,systematic review,disclose; academic integrity; plagiarism
C,Stahl_2023_A_Systematic_Review_Of_Artificial_Intelligence_Impact.pdf,pdfs\C\Stahl_2023_A_Systematic_Review_Of_Artificial_Intelligence_Impact.pdf,20,2,2,4,8,transparency,systematic review; transparency,ai policy; cope
C,Almusharraf_etal_2023_Analyzing_The_Role_Of_Chatgpt_As_A.pdf,pdfs\C\Almusharraf_etal_2023_Analyzing_The_Role_Of_Chatgpt_As_A.pdf,19,2,3,2,8,chatgpt; gpt-4; academic writing,systematic review,academic integrity; plagiarism; correction
C,Gao_2023_Comparing_Scientific_Abstracts_Generated_By_Chatgpt_To.pdf,pdfs\C\Gao_2023_Comparing_Scientific_Abstracts_Generated_By_Chatgpt_To.pdf,19,2,3,2,8,large language model; llm; chatgpt,articulate,plagiarism; ithenticate; editor
A,Journal_2024_Formre_Open_Journal_Per_La_Formazione.pdf,pdfs\A\Journal_2024_Formre_Open_Journal_Per_La_Formazione.pdf,17,2,3,0,8,large language model; llm; chatgpt,,disclose; academic integrity; plagiarism
A,Access_2025_The_Authors_2025_Open_Access_This_Article.pdf,pdfs\A\Access_2025_The_Authors_2025_Open_Access_This_Article.pdf,13,1,2,0,8,generative ai; chatgpt,,cope; plagiarism; sociological
B,Journal_etal_2024_.pdf,pdfs\B\Journal_etal_2024_.pdf,13,1,2,0,8,generative ai; chatgpt,,ai policy; plagiarism
H,Journal_2025_International_Journal_Of_Artificial_Intelligence_In_Educatio.pdf,pdfs\H\Journal_2025_International_Journal_Of_Artificial_Intelligence_In_Educatio.pdf,13,1,2,0,8,generative ai; chatgpt,,cope; academic integrity; peer review
H,Pierie_etal_2024_Pre_service_Teachers_Dual_Perspectives_On_Generative_Ai.pdf,pdfs\H\Pierie_etal_2024_Pre_service_Teachers_Dual_Perspectives_On_Generative_Ai.pdf,13,1,2,0,8,generative ai; chatgpt,,ai policy; plagiarism
D,Search_2022_Proceedings_Of_The_13th_Conference_On_Data.pdf,pdfs\D\Search_2022_Proceedings_Of_The_13th_Conference_On_Data.pdf,11,1,0,0,8,,,journal policy; cope
D,Woods_2024_Incentivising_Research_Data_Sharing_A_Scoping_Review.pdf,pdfs\D\Woods_2024_Incentivising_Research_Data_Sharing_A_Scoping_Review.pdf,43,3,7,20,7,reproducib; transparency; research practice,open science; open research; open data; data sharing; systematic review; transparency,disclose; cope; peer review
D,Unknown_2023_Is_Open_Science_A_Double_edged_Sword_Data.pdf,pdfs\D\Unknown_2023_Is_Open_Science_A_Double_edged_Sword_Data.pdf,36,3,5,15,7,reproducib; transparency,open science; open data; data sharing; transparency; reproducib,cope; editor; social science journal
