subfolder,file,path,composite,themes_hit,score_a,score_b,score_c,hits_a,hits_b,hits_c
D,Started_XXXX_The_Use_And_Acceptability_Of_Preprints_In.pdf,pdfs\D\Started_XXXX_The_Use_And_Acceptability_Of_Preprints_In.pdf,55,3,5,25,16,pre-registr; research practice,pre-registration; open science; open research; open data; data sharing; code sharing,submission guidelines; cope; peer review; editorial board; editor; retraction
D,Administrator_2024_Current_Reporting_Practices_In_Human_Neuroscience_Research.pdf,pdfs\D\Administrator_2024_Current_Reporting_Practices_In_Human_Neuroscience_Research.pdf,42,2,9,25,2,reproducib; replicab; preregistr,preregistration; pre-register; open science; preprint; validity; metascience,peer review
D,Workflow_etal_XXXX_Ecaw_manuscriptalspac_230428.pdf,pdfs\D\Workflow_etal_XXXX_Ecaw_manuscriptalspac_230428.pdf,42,2,12,24,0,reproducib; transparency; preregistr; research practice; research workflow,preregistration; open science; publication bias; questionable research practice; osf; transparency,
D,Leonelli_2023_The_Philosophy_Of_Open_Science.pdf,pdfs\D\Leonelli_2023_The_Philosophy_Of_Open_Science.pdf,38,2,8,24,0,epistemic; reproducib; research practice,open science; open data; data sharing; epistemic; philosophy of science; knowledge production,
G,Quarterly_2025_Management_Review_Quarterly.pdf,pdfs\G\Quarterly_2025_Management_Review_Quarterly.pdf,57,2,29,22,0,human verification; human oversight; ai-assisted research; ai in research; epistemic; epistemolog,epistemic; epistemolog; knowledge production; validity; research integrity; systematic review,
D,Grant_2022_Transparent_Open_And_Reproducible_Prevention_Science.pdf,pdfs\D\Grant_2022_Transparent_Open_And_Reproducible_Prevention_Science.pdf,37,2,7,22,2,reproducib; transparency; research practice,registered report; open science; preprint; scientific knowledge; research integrity; transparency,peer review
D,Editors_XXXX_Full_Guide_A_Guide_For_Social_Science.pdf,pdfs\D\Editors_XXXX_Full_Guide_A_Guide_For_Social_Science.pdf,54,3,5,21,19,transparency; preregistr,preregistration; registered report; open science; open data; preprint; transparency,submission guidelines; disclose; peer review; editor; retraction; correction
D,RossHellauer_2021_Dynamics_Of_Cumulative_Advantage_And.pdf,pdfs\D\RossHellauer_2021_Dynamics_Of_Cumulative_Advantage_And.pdf,43,3,8,21,5,epistemic; reproducib; transparency,open science; open research; open data; data sharing; epistemic; transparency,cope; peer review
D,Trials_etal_2023_Preregistration_And_Credibility_Of_Clinical_Trials.pdf,pdfs\D\Trials_etal_2023_Preregistration_And_Credibility_Of_Clinical_Trials.pdf,40,3,5,21,5,transparency; preregistr,preregistration; publication bias; p-hacking; preprint; research integrity; transparency,cope; peer review
D,Botvinik_etal_2022_Analysis_Reproducibility_In_Mental_Health_Research_Challenge.pdf,pdfs\D\Botvinik_etal_2022_Analysis_Reproducibility_In_Mental_Health_Research_Challenge.pdf,38,2,11,21,0,reproducib; replicab; transparency; pre-registr,pre-registration; open data; data sharing; code sharing; validity; transparency,
D,Started_XXXX_Prevalence_Of_Questionable_Research_Practices_Research_Misco.pdf,pdfs\D\Started_XXXX_Prevalence_Of_Questionable_Research_Practices_Research_Misco.pdf,47,2,2,20,19,research practice,open science; questionable research practice; qrp; code sharing; preprint; research integrity,submission guidelines; cope; research misconduct; peer review; editorial board; editor
D,Woods_2024_Incentivising_Research_Data_Sharing_A_Scoping_Review.pdf,pdfs\D\Woods_2024_Incentivising_Research_Data_Sharing_A_Scoping_Review.pdf,43,3,7,20,7,reproducib; transparency; research practice,open science; open research; open data; data sharing; systematic review; transparency,disclose; cope; peer review
D,Science_2023_Reproducibility_In_Management_Science.pdf,pdfs\D\Science_2023_Reproducibility_In_Management_Science.pdf,38,3,6,20,3,reproducib; replicab,open science; reproducibility crisis; publication bias; p-hacking; reproducib,disclose; editor
D,Deressa_etal_2023_More_Than_Half_Of_Statistically_Significant_Research.pdf,pdfs\D\Deressa_etal_2023_More_Than_Half_Of_Statistically_Significant_Research.pdf,36,3,3,20,4,replicab,pre-register; open science; publication bias; p-hacking; knowledge production,cope; editor
D,Fixter_2025_Opportunities_Challenges_And_Tensions_Open_Science.pdf,pdfs\D\Fixter_2025_Opportunities_Challenges_And_Tensions_Open_Science.pdf,31,2,5,20,0,epistemolog; transparency,open science; open data; data sharing; osf; open materials; epistemolog,
D,Lawson_2025_Running_Head_Citing_Decisions_In_Psychology.pdf,pdfs\D\Lawson_2025_Running_Head_Citing_Decisions_In_Psychology.pdf,40,3,7,19,5,reproducib; pre-registr; llm,pre-registration; pre-register; preprint; osf; validity; reproducib,peer review; editorial board; editor
D,Ng_etal_2024_Investigating_The_Nature_Of_Open_Science_Practices.pdf,pdfs\D\Ng_etal_2024_Investigating_The_Nature_Of_Open_Science_Practices.pdf,39,3,8,19,3,reproducib; transparency; preregistr,preregistration; open science; open data; osf; transparency; reproducib,peer review; editor
D,Akker_2023_Preregistration_In_Practice.pdf,pdfs\D\Akker_2023_Preregistration_In_Practice.pdf,38,3,6,19,4,replicab; preregistr,preregistration; registered report; p-hacking; harking; osf,disclose; peer review
C,Review_2021_Downloaded_From_Wwwannualreviewsorg_Guest_Guest_Ip_178742470.pdf,pdfs\C\Review_2021_Downloaded_From_Wwwannualreviewsorg_Guest_Guest_Ip_178742470.pdf,36,2,9,19,2,reproducib; replicab; llm; research practice,open science; publication bias; inference; validity; metascience; reproducib,correction
C,annurev-psych-020821-114157.pdf,pdfs_manualy_supplemented\C\annurev-psych-020821-114157.pdf,36,2,9,19,2,reproducib; replicab; llm; research practice,open science; publication bias; inference; validity; metascience; reproducib,correction
D,Series_2022_Towards_Bayesian_Model_based_Demography.pdf,pdfs\D\Series_2022_Towards_Bayesian_Model_based_Demography.pdf,49,3,16,18,6,epistemic; epistemolog; reproducib; replicab; transparency; research practice,questionable research practice; epistemic; epistemolog; philosophy of science; transparency; reproducib,cope; editorial board; editor
A,Semmelrock_2025_Reproducibility_In_Machinelearningbased_Research_Overview_Ba.pdf,pdfs\A\Semmelrock_2025_Reproducibility_In_Machinelearningbased_Research_Overview_Ba.pdf,34,2,10,18,0,reproducib; replicab; transparency; research practice,reproducibility crisis; questionable research practice; inference; validity; transparency; reproducib,
D,Practices_etal_2023_Reproducible_Research_Practices_And_Barriers_To_Reproducible.pdf,pdfs\D\Practices_etal_2023_Reproducible_Research_Practices_And_Barriers_To_Reproducible.pdf,34,2,8,18,2,epistemolog; reproducib; research practice,open science; osf; epistemolog; inference; validity; systematic review,disclose
G,Leonelli_2023_Opacity_And_Reproducibility_In_Data_Processing.pdf,pdfs\G\Leonelli_2023_Opacity_And_Reproducibility_In_Data_Processing.pdf,44,3,13,17,5,ai in research; tacit knowledge; epistemolog; reproducib,tacit knowledge; tacit; epistemolog; knowledge production; reproducib,cope; peer review
D,Akker_2023_Selective_Hypothesis_Reporting_In_Psychology.pdf,pdfs\D\Akker_2023_Selective_Hypothesis_Reporting_In_Psychology.pdf,36,3,5,17,5,transparency; preregistr,preregistration; open science; preprint; inference; systematic review; transparency,disclose; peer review; editor
D,Central_2026_Assessment_Of_Transparency_Indicators_Across_The_Biomedical.pdf,pdfs\D\Central_2026_Assessment_Of_Transparency_Indicators_Across_The_Biomedical.pdf,35,3,5,17,4,reproducib; transparency,data sharing; code sharing; preprint; research integrity; transparency; reproducib,disclose; peer review
D,Dau_2021_Replication_Studies_In_International_Business.pdf,pdfs\D\Dau_2021_Replication_Studies_In_International_Business.pdf,33,3,3,17,4,pre-registr,pre-registration; replication crisis; publication bias; philosophy of science,cope; editor
D,Page_2021_The_Replication_Crisis_The_Rise_Of_New.pdf,pdfs\D\Page_2021_The_Replication_Crisis_The_Rise_Of_New.pdf,29,2,5,17,1,replicab; research practice,pre-register; replication crisis; p-hacking; harking,editor
D,Behavior_2020_Response_To_Commentaries_On_Sakaluk_2020_Archives.pdf,pdfs\D\Behavior_2020_Response_To_Commentaries_On_Sakaluk_2020_Archives.pdf,35,3,6,16,4,reproducib; replicab,open science; open research; osf; metascience; reproducib,cope; editor
G,HanneAndersen_2021_Sats.pdf,pdfs\G\HanneAndersen_2021_Sats.pdf,33,3,5,16,3,epistemolog; research practice,questionable research practice; epistemolog; philosophy of science; scientific knowledge; research integrity,cope
D,Repository_2024_Biddlestone_Mikey_Green_Ricky_Douglas_Karen_Azevedo.pdf,pdfs\D\Repository_2024_Biddlestone_Mikey_Green_Ricky_Douglas_Karen_Azevedo.pdf,30,2,6,16,2,epistemic; replicab,pre-register; publication bias; osf; epistemic; systematic review,peer review
D,Unknown_2025_Synthese_2025_206111.pdf,pdfs\D\Unknown_2025_Synthese_2025_206111.pdf,28,2,4,16,2,preregistr; llm,preregistration; p-hacking; philosophy of science; inference; validity,disclose
D,Mede_2024_Perceptions_Of_Science_Science_Communication.pdf,pdfs\D\Mede_2024_Perceptions_Of_Science_Science_Communication.pdf,25,2,3,16,0,epistemic,pre-register; open science; osf; epistemic; scientific knowledge,
D,Mede_2024_Perceptions_Of_Science_Science_Communication_And_Climate.pdf,pdfs\D\Mede_2024_Perceptions_Of_Science_Science_Communication_And_Climate.pdf,25,2,3,16,0,epistemic,pre-register; open science; osf; epistemic; scientific knowledge,
D,Nelson_2021_Rgp_31_Clean.pdf,pdfs\D\Nelson_2021_Rgp_31_Clean.pdf,25,2,3,16,0,reproducib,open science; replication crisis; publication bias; reproducib,
D,Nivette_2024_The_Use_Of_Experimental_Vignettes_In_Studying.pdf,pdfs\D\Nivette_2024_The_Use_Of_Experimental_Vignettes_In_Studying.pdf,21,1,2,16,0,transparency,pre-register; inference; validity; causal inference; systematic review; transparency,
C,Sci_2023_Untitled.pdf,pdfs\C\Sci_2023_Untitled.pdf,45,3,11,15,10,epistemic; epistemolog; generative ai; large language model; llm; chatgpt,open science; osf; epistemic; epistemolog; philosophy of science,disclose; cope; plagiarism; peer review
C,rsos.230658.pdf,pdfs_manualy_supplemented\C\rsos.230658.pdf,45,3,11,15,10,epistemic; epistemolog; generative ai; large language model; llm; chatgpt,open science; osf; epistemic; epistemolog; philosophy of science,disclose; cope; plagiarism; peer review
G,Shiblu_2025_American_Journal_Of_Advanced_Technology_And_Engineering.pdf,pdfs\G\Shiblu_2025_American_Journal_Of_Advanced_Technology_And_Engineering.pdf,37,3,8,15,5,epistemic; reproducib; transparency,pre-register; epistemic; systematic review; transparency; reproducib,disclose; scholarly publishing
D,Submissions_XXXX_The_Transparency_Of_Quantitative_Empirical_Legal_F1000resear.pdf,pdfs\D\Submissions_XXXX_The_Transparency_Of_Quantitative_Empirical_Legal_F1000resear.pdf,36,3,7,15,5,reproducib; transparency; research practice,open science; open data; data sharing; transparency; reproducib,cope; peer review
D,Unknown_2023_Is_Open_Science_A_Double_edged_Sword_Data.pdf,pdfs\D\Unknown_2023_Is_Open_Science_A_Double_edged_Sword_Data.pdf,36,3,5,15,7,reproducib; transparency,open science; open data; data sharing; transparency; reproducib,cope; editor; social science journal
D,Valkenburg_2021_Expanding_Research_Integrity_A_Cultural_practice_Perspective.pdf,pdfs\D\Valkenburg_2021_Expanding_Research_Integrity_A_Cultural_practice_Perspective.pdf,31,3,4,15,3,transparency; research practice,questionable research practice; qrp; scientific knowledge; research integrity; transparency,plagiarism
D,Pownall_2023_Open_Reproducible_Scholarship_And_Students.pdf,pdfs\D\Pownall_2023_Open_Reproducible_Scholarship_And_Students.pdf,26,2,5,15,0,reproducib; transparency,replication crisis; qrp; osf; transparency; reproducib,
G,ucrhcam_2020_Microsoft_Word_Ambrosio_diagrams_submission_irisdocx.pdf,pdfs\G\ucrhcam_2020_Microsoft_Word_Ambrosio_diagrams_submission_irisdocx.pdf,24,2,3,15,0,epistemolog,articulate; epistemolog; philosophy of science; knowledge production; scientific knowledge; inference,
D,Sarma_etal_2024_Multiverse_Multiplexing_Alternative_Data_Analyses_In_R.pdf,pdfs\D\Sarma_etal_2024_Multiverse_Multiplexing_Alternative_Data_Analyses_In_R.pdf,21,1,1,15,2,llm,replication crisis; researcher degrees of freedom; articulate; meta-science,disclose
D,Lindkvist_2024_Bounded_Research_Ethicality_Researchers_Rate_Themselves_And.pdf,pdfs\D\Lindkvist_2024_Bounded_Research_Ethicality_Researchers_Rate_Themselves_And.pdf,20,1,2,15,0,research practice,pre-register; open science; questionable research practice; osf,
E,Abbate_etal_2022_Investigating_Healthcare_40_Transition_Through_A_Knowledge.pdf,pdfs\E\Abbate_etal_2022_Investigating_Healthcare_40_Transition_Through_A_Knowledge.pdf,35,2,14,14,1,tacit knowledge; explicit knowledge; epistemolog; reproducib,tacit knowledge; tacit; epistemolog; reproducib,editor
pdfs_manualy_supplemented,Xu_etal_2026_Scaling_Reproducibility_AI_Assisted_Workflow.pdf,pdfs\pdfs_manualy_supplemented\Xu_etal_2026_Scaling_Reproducibility_AI_Assisted_Workflow.pdf,33,2,13,14,0,replication package; reproducib; replicab; transparency; chatgpt; claude,open science; inference; causal inference; transparency; reproducib,
