subfolder,file,path,composite,themes_hit,score_a,score_b,score_c,hits_a,hits_b,hits_c
A,intilib_2025_Joit2024_38.pdf,pdfs\A\intilib_2025_Joit2024_38.pdf,15,1,10,2,0,human oversight; transparency; generative ai; large language model; llm; chatgpt,transparency,
D,Administrator_2024_Current_Reporting_Practices_In_Human_Neuroscience_Research.pdf,pdfs\D\Administrator_2024_Current_Reporting_Practices_In_Human_Neuroscience_Research.pdf,42,2,9,25,2,reproducib; replicab; preregistr,preregistration; pre-register; open science; preprint; validity; metascience,peer review
C,Review_2021_Downloaded_From_Wwwannualreviewsorg_Guest_Guest_Ip_178742470.pdf,pdfs\C\Review_2021_Downloaded_From_Wwwannualreviewsorg_Guest_Guest_Ip_178742470.pdf,36,2,9,19,2,reproducib; replicab; llm; research practice,open science; publication bias; inference; validity; metascience; reproducib,correction
C,annurev-psych-020821-114157.pdf,pdfs_manualy_supplemented\C\annurev-psych-020821-114157.pdf,36,2,9,19,2,reproducib; replicab; llm; research practice,open science; publication bias; inference; validity; metascience; reproducib,correction
C,Unknown_2025_Rege_01_2025_212_proof_26.pdf,pdfs\C\Unknown_2025_Rege_01_2025_212_proof_26.pdf,32,3,9,8,6,epistemolog; reproducib; transparency; llm,epistemolog; transparency; reproducib,cope; peer review; editor
C,rege-01-2025-212.pdf,pdfs_manualy_supplemented\C\rege-01-2025-212.pdf,32,3,9,8,6,epistemolog; reproducib; transparency; llm,epistemolog; transparency; reproducib,cope; peer review; editor
G,Klein_etal_2024_How_To_Make_Sense_Of_Generative_Ai.pdf,pdfs\G\Klein_etal_2024_How_To_Make_Sense_Of_Generative_Ai.pdf,28,3,9,7,3,epistemic; transparency; generative ai; large language model; llm; chatgpt,epistemic; scientific knowledge; transparency,cope
G,Unknown_2025_Abstractthis_Umbrella_Review_Synthesizes_Findings.pdf,pdfs\G\Unknown_2025_Abstractthis_Umbrella_Review_Synthesizes_Findings.pdf,28,3,9,4,6,transparency; generative ai; large language model; llm; chatgpt; gpt-4,systematic review; transparency,cope; academic integrity
C,Explorer_etal_XXXX_The_Ethics_Of_Chatgpt_In_Medicine_And.pdf,pdfs\C\Explorer_etal_XXXX_The_Ethics_Of_Chatgpt_In_Medicine_And.pdf,27,3,9,6,3,human oversight; transparency; large language model; llm; chatgpt; gpt-4,preprint; systematic review; transparency,cope
G,Floridi_2026_Philosophy_Technology_2026_3939.pdf,pdfs\G\Floridi_2026_Philosophy_Technology_2026_3939.pdf,27,3,9,6,3,epistemic; epistemolog; generative ai; large language model; llm,epistemic; epistemolog,cope
Venue,Unknown_2023_Affecting_Science_And_Indeed_Whether_Or_How.pdf,pdfs\Venue\Unknown_2023_Affecting_Science_And_Indeed_Whether_Or_How.pdf,26,3,9,5,3,reproducib; transparency; generative ai; large language model; llm; chatgpt,transparency; reproducib,peer review; editor
A,Generative_2024_Can_Generative_Ai_Improve_Social_Science.pdf,pdfs\A\Generative_2024_Can_Generative_Ai_Improve_Social_Science.pdf,25,2,9,2,8,replicab; generative ai; large language model; llm; chatgpt; research tool,preprint,cope; peer review; editorial board; editor
B,Journal_2025_International_Journal_Of_Artificial_Intelligence_In_Educatio.pdf,pdfs\B\Journal_2025_International_Journal_Of_Artificial_Intelligence_In_Educatio.pdf,25,3,9,4,3,ai-assisted research; ai in research; generative ai; chatgpt; research practice,articulate; validity,academic integrity
A,bail-2024-can-generative-ai-improve-social-science.pdf,pdfs_manualy_supplemented\A\bail-2024-can-generative-ai-improve-social-science.pdf,25,2,9,2,8,replicab; generative ai; large language model; llm; chatgpt; research tool,preprint,cope; peer review; editorial board; editor
C,Hila_2024_The_Epistemological_Consequences_Of_Large_Language_Models.pdf,pdfs\C\Hila_2024_The_Epistemological_Consequences_Of_Large_Language_Models.pdf,23,2,9,8,0,epistemic; epistemolog; large language model; llm; claude,epistemic; epistemolog; inference,
A,Arti_2023_Can_Generative_Artificial_Intelligence_Improve.pdf,pdfs\A\Arti_2023_Can_Generative_Artificial_Intelligence_Improve.pdf,20,2,9,5,0,reproducib; generative ai; large language model; llm; chatgpt; research tool,validity; reproducib,
H,Alizadeh_2024_Open_source_Llms_For_Text_Annotation_A_Practical.pdf,pdfs\H\Alizadeh_2024_Open_source_Llms_For_Text_Annotation_A_Practical.pdf,20,2,9,5,0,reproducib; transparency; large language model; llm; chatgpt; gpt-4,transparency; reproducib,
H,Kulkarni_etal_2023_The_Future_Of_Research_In_An_Artificial.pdf,pdfs\H\Kulkarni_etal_2023_The_Future_Of_Research_In_An_Artificial.pdf,20,2,9,3,2,epistemolog; large language model; llm; chatgpt; gpt-4; research tool,epistemolog,peer review
B,Limna_2024_Assessing_The_Determinants_Of_Generative_Ai_Integration.pdf,pdfs\B\Limna_2024_Assessing_The_Determinants_Of_Generative_Ai_Integration.pdf,13,1,9,0,1,generative ai; large language model; llm; chatgpt; claude; research practice,,editor
D,Unknown_2021_Meta_psychology_2021_Vol_5_Mp20202625.pdf,pdfs\D\Unknown_2021_Meta_psychology_2021_Vol_5_Mp20202625.pdf,63,3,8,43,3,reproducib; transparency; preregistr,preregistration; registered report; replication crisis; publication bias; p-hacking; researcher degrees of freedom,disclose; editor
D,Silverstein_2024_A_Guide_For_Social_Science_Journal_Editors.pdf,pdfs\D\Silverstein_2024_A_Guide_For_Social_Science_Journal_Editors.pdf,56,3,8,27,12,reproducib; replicab; research practice,open science; open research; publication bias; preprint; osf; knowledge production,peer review; editor; scholarly publishing; social science journal; journal editor
D,Nakagawa_2024_Untitled.pdf,pdfs\D\Nakagawa_2024_Untitled.pdf,55,2,8,39,2,replicab; pre-registr; research practice,pre-registration; pre-register; registered report; replication crisis; publication bias; questionable research practice,peer review
H,In_XXXX_The_Role_Of_Large_Language_Models_In.pdf,pdfs\H\In_XXXX_The_Role_Of_Large_Language_Models_In.pdf,44,3,8,8,19,reproducib; transparency; large language model; llm; chatgpt,data sharing; transparency; reproducib,cope; research misconduct; plagiarism; peer review; editorial board; editor
D,RossHellauer_2021_Dynamics_Of_Cumulative_Advantage_And.pdf,pdfs\D\RossHellauer_2021_Dynamics_Of_Cumulative_Advantage_And.pdf,43,3,8,21,5,epistemic; reproducib; transparency,open science; open research; open data; data sharing; epistemic; transparency,cope; peer review
D,Ng_etal_2024_Investigating_The_Nature_Of_Open_Science_Practices.pdf,pdfs\D\Ng_etal_2024_Investigating_The_Nature_Of_Open_Science_Practices.pdf,39,3,8,19,3,reproducib; transparency; preregistr,preregistration; open science; open data; osf; transparency; reproducib,peer review; editor
D,Leonelli_2023_The_Philosophy_Of_Open_Science.pdf,pdfs\D\Leonelli_2023_The_Philosophy_Of_Open_Science.pdf,38,2,8,24,0,epistemic; reproducib; research practice,open science; open data; data sharing; epistemic; philosophy of science; knowledge production,
G,Shiblu_2025_American_Journal_Of_Advanced_Technology_And_Engineering.pdf,pdfs\G\Shiblu_2025_American_Journal_Of_Advanced_Technology_And_Engineering.pdf,37,3,8,15,5,epistemic; reproducib; transparency,pre-register; epistemic; systematic review; transparency; reproducib,disclose; scholarly publishing
